% time spent exploring,episodes,mean 100 episode reward,steps
98,10,542.6,3359
97,20,546.3,6220
97,30,559.2,8766
96,40,553.0,11438
95,50,575.9,13811
94,60,569.8,15990
93,70,583.1,19237
92,80,567.5,21981
91,90,594.0,25494
91,100,571.6,27026
89,110,590.6,30920
89,120,579.5,32953
88,130,591.5,35692
87,140,600.8,38689
86,150,589.9,41489
85,160,604.7,43119
85,170,612.6,45574
83,180,624.1,49099
83,190,622.3,51532
82,200,651.2,54401
81,210,629.8,56531
80,220,673.4,59777
79,230,664.4,61293
79,240,656.3,62537
79,250,649.7,64190
78,260,652.0,66478
77,270,667.3,69253
76,280,670.7,70469
76,290,631.9,71493
75,300,630.6,73988
75,310,655.7,75767
74,320,624.4,78516
73,330,656.4,81561
72,340,666.3,83563
72,350,690.9,85150
71,360,673.6,86284
71,370,638.6,87215
70,380,641.1,88821
70,390,664.5,90105
69,400,678.5,92214
69,410,657.7,93458
68,420,677.4,95065
68,430,652.7,96360
67,440,679.3,98523
67,450,669.6,100233
66,460,695.9,102250
66,470,691.9,103421
65,480,706.4,104984
65,490,731.7,106803
64,500,737.0,109101
63,510,770.3,111488
63,520,753.9,112747
62,530,741.6,113603
62,540,721.8,115011
61,550,757.3,117089
61,560,756.6,118566
60,570,775.8,120067
60,580,767.5,121587
59,590,774.7,123420
59,600,777.7,125035
58,610,761.5,126299
58,620,770.8,127822
57,630,803.0,129357
57,640,807.6,130698
56,650,792.6,132153
56,660,809.3,133995
55,670,845.2,136163
55,680,847.3,137502
54,690,838.0,139017
53,700,819.0,140845
53,710,839.0,142695
52,720,899.2,145365
51,730,901.8,147205
51,740,953.5,149220
50,750,958.4,150940
50,760,947.4,152591
49,770,945.7,154382
48,780,974.7,156371
48,790,989.9,157945
47,800,1023.2,159624
47,810,1044.0,161592
46,820,984.0,162709
46,830,958.1,163982
45,840,901.6,165367
45,850,916.2,167365
44,860,920.8,169138
44,870,902.6,170555
43,880,882.7,171899
43,890,870.5,173086
43,900,841.6,174189
42,910,829.5,175780
41,920,879.4,177853
41,930,910.6,179296
40,940,976.7,181185
40,950,953.2,182411
40,960,923.3,183238
39,970,930.1,184593
39,980,940.0,185965
38,990,934.0,187046
38,1000,954.0,188444
37,1010,950.3,189846
37,1020,940.6,191473
36,1030,958.7,193096
36,1040,944.4,194895
35,1050,976.7,197092
35,1060,1001.7,198441
34,1070,998.0,199874
34,1080,998.1,201308
33,1090,989.4,202421
33,1100,1010.2,203974
32,1110,1003.6,205174
32,1120,1040.8,207486
31,1130,1030.8,209173
31,1140,1019.6,210662
30,1150,1044.9,212658
29,1160,1100.2,214637
29,1170,1119.4,216044
28,1180,1155.0,217691
28,1190,1222.5,219644
27,1200,1233.0,221086
