# {"t_start": 1556387814.8088303, "env_id": "SuperMarioBros-v1"} 
r,l,t
626.0,78,2.224946
230.0,45,2.673362
240.0,37,3.044398
1107.0,298,6.105375
183.0,66,6.779593
718.0,748,26.941921
227.0,46,29.512538
225.0,54,32.453674
805.0,264,47.032394
244.0,33,48.877816
1022.0,415,73.294928
604.0,100,79.290625
541.0,748,124.658617
225.0,49,127.625081
723.0,748,176.058484
1000.0,461,206.082531
225.0,49,209.155864
1031.0,241,224.198786
636.0,107,230.825257
804.0,217,245.792925
177.0,65,250.18987
605.0,158,260.21847
736.0,126,268.017673
523.0,748,318.459776
580.0,100,325.326207
606.0,162,336.000504
233.0,37,338.233433
210.0,50,341.347127
971.0,587,381.219139
614.0,239,396.523435
1275.0,408,423.385906
195.0,57,427.045164
207.0,53,431.070107
614.0,240,446.608666
239.0,45,449.934021
537.0,748,500.504774
542.0,748,549.204871
640.0,165,560.36665
241.0,41,563.194261
537.0,748,613.100352
204.0,56,616.736587
559.0,189,629.393323
632.0,158,639.264315
537.0,748,690.050922
235.0,40,692.693434
640.0,632,735.220582
220.0,46,738.340841
774.0,748,788.23301
618.0,248,804.870107
759.0,498,838.334729
661.0,640,881.295335
228.0,44,884.13167
713.0,748,934.316584
602.0,169,945.430701
188.0,87,950.887291
1015.0,377,976.219376
213.0,65,980.419857
219.0,47,984.078601
737.0,468,1015.566583
243.0,38,1018.19183
163.0,89,1024.041988
231.0,43,1026.673187
612.0,121,1034.893555
758.0,230,1049.91786
587.0,174,1060.917189
609.0,177,1073.264156
216.0,56,1077.083514
980.0,533,1112.82152
197.0,59,1116.874411
236.0,57,1120.538881
225.0,43,1123.55615
246.0,43,1126.347139
542.0,748,1175.943916
251.0,34,1178.510134
600.0,124,1187.092564
238.0,42,1189.919739
535.0,748,1240.180978
244.0,35,1242.430026
600.0,168,1253.146488
185.0,58,1257.530758
230.0,49,1260.926008
724.0,342,1283.427887
638.0,173,1295.487463
710.0,347,1318.670466
736.0,160,1329.276256
780.0,365,1353.762064
726.0,580,1390.953176
987.0,432,1419.738306
630.0,213,1433.303167
242.0,46,1436.832202
1044.0,255,1453.951765
583.0,104,1460.864966
524.0,748,1510.475784
602.0,125,1518.277948
217.0,53,1521.933878
1027.0,400,1548.513043
535.0,748,1599.065864
723.0,748,1649.566979
238.0,43,1652.583478
1147.0,748,1702.441552
596.0,173,1714.261068
637.0,151,1723.946914
640.0,153,1734.660417
702.0,521,1769.703652
592.0,177,1781.354323
961.0,691,1827.806213
1344.0,691,1873.535019
240.0,42,1876.239061
716.0,748,1926.817803
764.0,347,1950.011019
230.0,53,1953.46625
537.0,748,2003.334902
722.0,333,2025.42017
245.0,36,2027.736399
230.0,49,2030.752936
592.0,748,2079.496969
603.0,70,2084.616597
1424.0,212,2098.974155
802.0,274,2116.581701
712.0,748,2167.142089
712.0,748,2217.181218
528.0,748,2266.616236
636.0,154,2277.073751
601.0,96,2283.413687
1371.0,478,2315.514913
1016.0,287,2334.725462
232.0,54,2338.22063
610.0,114,2345.766684
232.0,50,2349.231863
244.0,34,2351.437194
593.0,116,2359.200583
813.0,229,2374.569225
631.0,104,2381.59986
228.0,44,2384.432833
626.0,184,2396.932972
791.0,305,2416.164011
633.0,172,2427.383404
638.0,175,2439.428546
598.0,108,2446.63157
714.0,697,2492.984227
223.0,50,2496.180265
1338.0,263,2514.384189
229.0,51,2517.6568
662.0,435,2546.914898
242.0,32,2548.964631
247.0,31,2551.066629
228.0,42,2553.970254
234.0,40,2556.510884
625.0,103,2563.438466
1318.0,297,2582.883321
666.0,668,2628.137877
635.0,182,2640.851277
223.0,48,2643.987207
1018.0,330,2665.737363
227.0,46,2668.682676
591.0,129,2676.825602
713.0,748,2727.522767
236.0,51,2730.966506
712.0,748,2781.171798
602.0,116,2788.967594
963.0,585,2827.871445
720.0,748,2877.733075
717.0,748,2927.265004
740.0,281,2946.133897
1005.0,433,2975.038696
605.0,118,2982.926761
636.0,157,2992.727365
249.0,33,2995.067405
943.0,686,3040.850752
703.0,285,3060.512958
612.0,696,3106.537957
654.0,536,3141.964157
635.0,568,3180.126914
733.0,396,3206.650812
708.0,748,3256.824934
628.0,135,3265.437919
980.0,531,3300.856402
798.0,271,3319.366575
749.0,467,3349.465024
