# {"env_id": "SuperMarioBros-v1", "t_start": 1556333252.0456674} 
r,l,t
627.0,99,3.972922
595.0,748,14.445096
232.0,43,14.993962
598.0,145,19.369106
226.0,62,25.97235
231.0,46,30.10195
639.0,167,46.857009
1273.0,427,87.359896
151.0,94,96.747168
584.0,191,114.833287
227.0,50,120.313162
569.0,247,145.354022
1000.0,555,199.41867
631.0,111,212.608476
245.0,55,217.760111
703.0,357,254.855727
586.0,126,267.07821
226.0,59,272.163897
690.0,748,346.0178
1306.0,388,385.858661
633.0,105,398.356244
541.0,748,473.192466
224.0,46,477.043762
627.0,241,501.903762
605.0,160,519.318584
575.0,142,533.605346
674.0,405,575.16239
236.0,54,580.2982
722.0,748,655.021448
707.0,718,729.053377
588.0,143,743.988356
202.0,55,750.627801
738.0,552,806.429344
788.0,345,842.082993
237.0,34,845.583401
1009.0,400,886.48495
229.0,44,890.848294
256.0,32,893.727565
1030.0,257,918.833408
625.0,119,931.886261
723.0,748,1006.617052
797.0,281,1036.097538
619.0,138,1049.637923
727.0,748,1125.676798
245.0,44,1130.707191
192.0,64,1136.967212
232.0,43,1141.295104
217.0,47,1147.504934
998.0,491,1198.215745
244.0,34,1201.296623
615.0,289,1229.516015
1259.0,680,1300.049061
807.0,219,1323.698975
537.0,748,1401.286025
549.0,275,1428.835032
719.0,748,1505.672141
930.0,671,1576.050331
728.0,748,1654.184567
242.0,38,1657.653439
250.0,43,1661.9845
631.0,158,1679.54158
730.0,138,1693.068087
988.0,564,1750.556958
943.0,704,1823.368273
244.0,60,1829.135947
235.0,57,1836.449981
1265.0,445,1881.113551
610.0,110,1891.809043
632.0,151,1906.455367
616.0,96,1915.938373
727.0,748,1993.784869
723.0,208,2016.616604
242.0,31,2019.677542
727.0,748,2097.570185
243.0,43,2101.713444
208.0,49,2106.664412
622.0,122,2120.775717
233.0,36,2124.214159
245.0,39,2128.090963
243.0,36,2131.499346
738.0,333,2165.427798
843.0,748,2241.085517
615.0,99,2250.92815
621.0,112,2261.651644
1004.0,405,2303.67268
687.0,324,2337.57409
618.0,111,2349.221604
244.0,43,2354.642823
611.0,107,2365.257832
244.0,34,2369.508238
728.0,748,2446.985933
717.0,748,2529.403368
707.0,748,2604.281569
1039.0,583,2665.313569
215.0,52,2670.331399
1253.0,652,2735.859847
216.0,41,2739.593131
631.0,161,2757.068473
677.0,484,2809.205896
608.0,112,2820.691213
944.0,685,2891.7752
237.0,43,2895.703849
1044.0,155,2913.323902
218.0,50,2918.17341
221.0,50,2922.943285
736.0,198,2944.667639
635.0,164,2959.777701
723.0,748,3038.186693
245.0,35,3042.621179
718.0,748,3120.558319
625.0,103,3131.728384
1255.0,603,3191.377237
206.0,64,3199.670106
580.0,130,3212.996281
1032.0,288,3245.277035
785.0,309,3277.623877
767.0,311,3310.478785
586.0,327,3344.879085
634.0,216,3368.192161
628.0,184,3385.976335
623.0,113,3397.171493
608.0,104,3406.902014
226.0,41,3410.578704
608.0,126,3424.432974
606.0,79,3432.689181
572.0,177,3454.116758
1026.0,312,3487.110111
599.0,117,3498.713992
633.0,91,3507.705191
1052.0,210,3530.523167
194.0,60,3536.67691
1104.0,316,3569.810173
628.0,115,3581.604217
251.0,33,3586.086598
1252.0,666,3657.006274
225.0,47,3662.284286
236.0,38,3666.018825
223.0,48,3670.697952
1230.0,702,3746.783415
1013.0,348,3783.312803
221.0,41,3787.239406
240.0,39,3791.114672
1269.0,442,3836.384175
224.0,42,3840.767812
207.0,63,3846.862093
720.0,327,3882.14773
1248.0,649,3950.762706
1669.0,406,3993.037867
723.0,613,4056.980667
591.0,102,4067.715257
703.0,229,4090.130175
542.0,748,4172.310219
1243.0,591,4234.723056
615.0,109,4245.848696
954.0,684,4317.61658
182.0,66,4324.148762
1372.0,384,4362.604826
167.0,66,4370.747
643.0,147,4386.98284
728.0,748,4466.602663
633.0,173,4485.95311
228.0,46,4490.308429
540.0,748,4571.521257
617.0,135,4585.37877
227.0,49,4589.961484
1613.0,644,4657.837748
708.0,306,4688.001929
247.0,47,4692.693472
782.0,355,4732.318438
638.0,164,4750.838058
1656.0,380,4790.424585
230.0,50,4795.411616
251.0,38,4799.059911
685.0,379,4838.635231
632.0,150,4853.467385
224.0,43,4859.343664
631.0,183,4876.707907
792.0,281,4904.926842
624.0,179,4922.616987
1262.0,582,4985.950877
243.0,35,4989.135581
615.0,111,5000.082935
637.0,148,5014.327374
232.0,45,5019.323776
620.0,106,5031.090373
1413.0,252,5058.957911
1021.0,328,5091.967889
989.0,471,5145.718294
241.0,36,5149.04635
244.0,41,5153.186511
241.0,42,5158.896461
636.0,157,5174.867419
591.0,120,5188.367124
248.0,38,5192.480984
738.0,375,5232.091517
627.0,105,5250.875989
243.0,35,5258.737149
590.0,107,5274.970999
722.0,601,5365.221335
233.0,39,5370.361497
1037.0,265,5414.252648
710.0,118,5434.054368
579.0,111,5451.710758
243.0,39,5457.10452
239.0,36,5464.286388
1018.0,361,5524.868531
608.0,96,5540.847387
641.0,159,5566.321412
1243.0,678,5684.10681
774.0,310,5735.315504
1333.0,192,5766.631961
997.0,441,5821.797743
256.0,35,5827.4492
1377.0,375,5873.930029
605.0,116,5886.989942
251.0,31,5892.187297
1232.0,672,6001.356616
236.0,36,6007.182345
1014.0,417,6062.585372
772.0,432,6126.729717
791.0,169,6147.100634
699.0,302,6188.001987
235.0,39,6194.780491
218.0,52,6203.001346
620.0,97,6215.370197
1687.0,335,6255.884686
1521.0,469,6319.020162
988.0,541,6387.257576
1283.0,439,6435.070407
224.0,44,6440.105645
1340.0,166,6458.46163
229.0,47,6463.439504
802.0,220,6487.106959
585.0,102,6499.421934
744.0,524,6554.2073
615.0,112,6565.137617
1018.0,294,6597.07885
1298.0,402,6640.019559
644.0,144,6654.991079
240.0,43,6659.000606
790.0,318,6694.043405
630.0,183,6714.243268
614.0,118,6726.137626
731.0,370,6766.553544
592.0,100,6778.449454
985.0,455,6826.781338
252.0,32,6831.175231
209.0,47,6836.676874
1028.0,291,6867.797669
969.0,554,6926.576182
227.0,44,6931.280269
741.0,354,6968.467113
727.0,96,6979.16255
1298.0,334,7014.112486
235.0,45,7019.760895
600.0,119,7032.564953
252.0,32,7035.489446
620.0,92,7044.572181
996.0,438,7092.153753
750.0,313,7126.192521
239.0,38,7129.934671
609.0,66,7138.284147
961.0,559,7196.090556
779.0,379,7235.248788
236.0,35,7238.935176
